iter	Passed	Remaining
407	5695	8264
408	5708	8248
409	5719	8231
410	5731	8214
411	5744	8198
412	5756	8181
413	5768	8165
414	5781	8149
415	5795	8135
416	5808	8120
417	5819	8103
418	5831	8086
419	5847	8075
420	5864	8065
421	5879	8053
422	5892	8038
423	5905	8022
424	5916	8005
425	5928	7987
426	5941	7973
427	5953	7956
428	5964	7939
429	5977	7923
430	5990	7908
431	6004	7894
432	6016	7877
433	6026	7859
434	6040	7846
435	6054	7831
436	6071	7822
437	6087	7810
438	6102	7798
439	6119	7788
440	6136	7778
441	6153	7768
442	6167	7754
443	6180	7738
444	6191	7722
445	6202	7704
446	6217	7691
447	6230	7677
448	6242	7660
449	6256	7646
450	6269	7631
451	6280	7614
452	6295	7601
453	6309	7587
454	6320	7570
455	6333	7555
456	6344	7538
457	6357	7523
458	6368	7505
459	6379	7489
460	6392	7473
461	6406	7460
462	6419	7445
463	6432	7430
464	6447	7417
465	6460	7403
466	6475	7390
467	6488	7375
468	6501	7361
469	6517	7349
470	6529	7333
471	6546	7322
472	6561	7310
473	6575	7297
474	6589	7282
475	6601	7266
476	6612	7249
477	6623	7233
478	6638	7220
479	6652	7207
480	6667	7193
481	6682	7181
482	6694	7166
483	6707	7151
484	6721	7137
485	6735	7123
486	6749	7110
487	6763	7096
488	6776	7081
489	6792	7069
490	6804	7054
491	6818	7039
492	6833	7027
493	6849	7016
494	6865	7003
495	6877	6988
496	6895	6978
497	6909	6964
498	6925	6953
499	6943	6943
500	6958	6930
501	6973	6917
502	6987	6903
503	7000	6889
504	7013	6874
505	7030	6864
506	7044	6849
507	7071	6848
508	7090	6840
509	7118	6839
510	7141	6834
511	7178	6842
512	7210	6844
513	7230	6836
514	7257	6834
515	7281	6829
516	7310	6829
517	7335	6825
518	7356	6817
519	7377	6810
520	7404	6807
521	7426	6800
522	7441	6787
523	7455	6772
524	7468	6757
525	7484	6744
526	7504	6735
527	7518	6721
528	7530	6705
529	7542	6688
530	7556	6674
531	7569	6659
532	7583	6644
533	7597	6629
534	7609	6613
535	7621	6597
536	7635	6583
537	7649	6569
538	7664	6555
539	7675	6538
540	7687	6522
541	7701	6508
542	7719	6497
543	7731	6481
544	7747	6468
545	7763	6455
546	7780	6443
547	7796	6430
548	7810	6416
549	7822	6400
550	7834	6383
551	7845	6367
552	7859	6352
553	7871	6337
554	7888	6324
555	7905	6312
556	7922	6301
557	7935	6285
558	7949	6271
559	7961	6255
560	7974	6240
561	7988	6225
562	7999	6209
563	8013	6194
564	8025	6178
565	8038	6163
566	8051	6148
567	8062	6132
568	8074	6115
569	8086	6100
570	8099	6084
571	8114	6071
572	8126	6056
573	8138	6039
574	8151	6024
575	8163	6009
576	8174	5992
577	8188	5978
578	8200	5962
579	8215	5949
580	8230	5935
581	8245	5922
582	8259	5907
583	8270	5891
584	8284	5876
585	8303	5866
586	8319	5853
587	8332	5838
588	8348	5825
589	8360	5810
590	8375	5796
591	8387	5780
592	8400	5765
593	8412	5749
594	8425	5735
595	8438	5719
596	8449	5703
597	8459	5687
598	8472	5671
599	8486	5657
600	8500	5643
601	8515	5629
602	8527	5614
603	8538	5598
604	8554	5585
605	8569	5571
606	8583	5557
607	8599	5544
608	8612	5529
609	8623	5513
610	8635	5497
611	8648	5482
612	8661	5467
613	8677	5455
614	8696	5444
615	8713	5431
616	8729	5418
617	8746	5406
618	8758	5390
