iter	Logloss
0	0.6593072105
1	0.6228050828
2	0.5953891939
3	0.5681668539
4	0.5433955769
5	0.5226506802
6	0.5037268753
7	0.4861567814
8	0.4701169908
9	0.4545906049
10	0.4435018213
11	0.4319179066
12	0.4215293641
13	0.413010188
14	0.4049440705
15	0.3962393165
16	0.3870899174
17	0.3786067432
18	0.3700331497
19	0.3647199947
20	0.3608922391
21	0.3545735683
22	0.3498641315
23	0.343703469
24	0.3371957097
25	0.3332395035
26	0.3278005155
27	0.3231017432
28	0.3199157374
29	0.3155852346
30	0.3105038627
31	0.3064861577
32	0.3029772661
33	0.3003348171
34	0.2971481896
35	0.294624132
36	0.292554775
37	0.2886871352
38	0.2858886268
39	0.2834186278
40	0.2802315687
41	0.2781482535
42	0.276081092
43	0.2737746051
44	0.2714909724
45	0.2681221482
46	0.2660036432
47	0.2642923923
48	0.2623722919
49	0.2603747267
50	0.2581042422
51	0.256311265
52	0.2534404631
53	0.2504989761
54	0.2490795261
55	0.2471510891
56	0.2451984701
57	0.242931682
58	0.2411252668
59	0.2394806886
60	0.2383003849
61	0.2366118074
62	0.2355220052
63	0.2340857027
64	0.2330237086
65	0.2313846462
66	0.2300510354
67	0.2288588629
68	0.2277957531
69	0.2264232006
70	0.2245036985
71	0.22333593
72	0.2224404433
73	0.2215770637
74	0.2209680145
75	0.2197916007
76	0.2186481871
77	0.2172883885
78	0.2159971151
79	0.2149199034
80	0.2139571129
81	0.2129286734
82	0.2118839453
83	0.2106690608
84	0.2099215926
85	0.2090196289
86	0.2081466766
87	0.2067693783
88	0.2057267684
89	0.2045914169
90	0.2034225494
91	0.2027202698
92	0.2013768743
93	0.2007961714
94	0.1996021066
95	0.1985079936
96	0.1977347514
97	0.1970540979
98	0.1963228278
99	0.195439328
100	0.1951252907
101	0.1944428174
102	0.1934089442
103	0.1925084775
104	0.1918436718
105	0.1911893341
106	0.1906027671
107	0.1901733951
108	0.1895013282
109	0.1889274554
110	0.1884598896
111	0.1880066173
112	0.1870969014
113	0.186267025
114	0.1850003334
115	0.1841865375
116	0.1836701208
117	0.1834060035
118	0.1830079418
119	0.1824855128
120	0.1818823159
121	0.1813866905
122	0.1805266662
123	0.1800526626
124	0.1794586653
125	0.178592081
126	0.1780315503
127	0.1776368775
128	0.1771672778
129	0.1766090398
130	0.1761899883
131	0.1758760712
132	0.1748084386
133	0.1741806126
134	0.1737944032
135	0.173194403
136	0.17284868
137	0.1722221458
138	0.1716404836
139	0.1710588283
140	0.1703888664
141	0.1694982823
142	0.1687742709
143	0.1682953842
144	0.1675992014
145	0.1670062101
146	0.1666736353
147	0.1662482033
148	0.1656962291
149	0.1653567912
150	0.1647231111
151	0.1642197293
152	0.16390045
153	0.1635012031
154	0.1629931658
155	0.1624922984
156	0.1622985372
157	0.1619238775
158	0.1617615943
159	0.1614149064
160	0.1610970593
161	0.1607233972
162	0.1602993326
163	0.1596093467
164	0.1594362039
165	0.1589972163
166	0.1584477385
167	0.1580625188
168	0.1575643087
169	0.1573685952
170	0.1570965469
171	0.1569267112
172	0.1565578013
173	0.156264348
174	0.1558583959
175	0.1554684438
176	0.1548290062
177	0.1547199434
178	0.154362688
179	0.1540478205
180	0.1536876335
181	0.1531645518
182	0.1528410041
183	0.1522880237
184	0.1518068981
185	0.1515231153
186	0.150969897
187	0.1507941332
188	0.1503071704
189	0.1496929607
190	0.1492505202
191	0.1489242341
192	0.1484586193
193	0.1480921371
194	0.1479093796
195	0.1475845333
196	0.1472190391
197	0.1468553427
198	0.1465696657
199	0.1463047342
200	0.1460161025
201	0.1457228691
202	0.145277508
203	0.1449350648
204	0.1446108054
205	0.144269542
206	0.1437834232
207	0.1433887443
208	0.1431210174
209	0.1429700925
210	0.142567741
211	0.1421411874
212	0.1417682353
213	0.141447615
214	0.1411489681
215	0.1406879748
216	0.1403424695
217	0.1401128842
218	0.1396773247
219	0.1391216864
220	0.1387642276
221	0.1381103069
222	0.1377686452
223	0.1373768916
224	0.1372192843
225	0.1370410586
226	0.1366658978
227	0.1363430316
228	0.1360875496
229	0.1358661161
230	0.1354818621
231	0.135158997
232	0.1347675323
233	0.1346236659
234	0.1341927812
235	0.1337336416
236	0.1335538825
237	0.1332812971
238	0.1329159512
239	0.132524738
240	0.1323877884
241	0.1318460569
242	0.1315018958
243	0.1313309096
244	0.130618303
245	0.1302306772
246	0.1299688254
247	0.1297233002
248	0.1293353823
249	0.1290664983
250	0.1289592505
251	0.1286797135
252	0.1282880739
253	0.1280707248
254	0.1277799572
255	0.1274731105
256	0.1272431494
257	0.1269952549
258	0.1266011625
259	0.1264715872
260	0.1262762455
261	0.1260705428
262	0.1259206319
263	0.1256997188
264	0.1255315848
265	0.1252585377
266	0.1250142892
267	0.1246674452
268	0.1244889548
269	0.1242321187
270	0.1238733031
271	0.1235996002
272	0.1232823452
273	0.1228591997
274	0.122648708
275	0.122452167
276	0.1223186207
277	0.1221104217
278	0.121979117
279	0.1217927613
280	0.1215812925
281	0.1213204179
282	0.121228055
283	0.1210647881
284	0.1207677412
285	0.1205407951
286	0.1203583542
287	0.1201114481
288	0.1200373019
289	0.1199309874
290	0.1196737322
291	0.1195060715
292	0.1193443386
293	0.118838489
294	0.1186622057
295	0.1183919032
296	0.1181985247
297	0.1180133157
298	0.1176888296
299	0.1174492111
300	0.1173099208
301	0.1170325185
302	0.1168082857
303	0.1163643869
304	0.1160336091
305	0.1158827643
306	0.1154372346
307	0.1152883915
308	0.1150685645
309	0.1147998942
310	0.1146971721
311	0.114367691
312	0.1139783268
313	0.113877224
314	0.1135656794
315	0.1132607804
316	0.1131201493
317	0.1127303127
318	0.1125060513
319	0.1121667908
320	0.1119708993
321	0.1115935766
322	0.1114374398
323	0.1112427999
324	0.1109931681
325	0.1107744637
326	0.1105499976
327	0.1103385791
328	0.1101965176
329	0.109931092
330	0.109761064
331	0.1094815423
332	0.1093222929
333	0.1092420997
334	0.1089524547
335	0.1087347214
336	0.1085213759
337	0.1083445851
338	0.1082308249
339	0.1079945223
340	0.1077370548
341	0.1075058692
342	0.1073617491
343	0.1071977677
344	0.1071323565
345	0.1068653255
346	0.1067916946
347	0.106644801
348	0.106356153
349	0.1062347356
350	0.1060037882
351	0.1056281002
352	0.1053669358
353	0.1051838972
354	0.1050720392
355	0.1048120906
356	0.1046072838
357	0.1044779881
358	0.1042204054
359	0.1039599235
360	0.1038769982
361	0.1035509111
362	0.1034200985
363	0.1033061904
364	0.1031155902
365	0.1027696285
366	0.102694883
367	0.1024570926
368	0.1022974973
369	0.1021860859
370	0.1020113661
371	0.1019068892
372	0.1016974939
373	0.10149003
374	0.1012213369
375	0.1010144808
376	0.1008182784
377	0.1006420364
378	0.1004874204
379	0.1002933795
380	0.1002053767
381	0.1000022158
382	0.09979989196
383	0.09973235059
384	0.09966627507
385	0.09946346291
386	0.09907119748
387	0.09887904217
388	0.09871000816
389	0.09846105376
390	0.09833431317
391	0.09814128148
392	0.09780481071
393	0.0977143072
394	0.09757398987
395	0.09734263103
396	0.09692447007
397	0.09684645609
398	0.09665802206
399	0.09648469886
400	0.09632392167
401	0.09625944355
402	0.09617249548
403	0.0959112138
404	0.09566183148
405	0.09557409409
406	0.09538831005
407	0.09510263844
408	0.09490733145
409	0.09479160874
410	0.09461220456
411	0.09433505838
412	0.09421719001
413	0.09414232377
414	0.09386845764
415	0.09362170001
416	0.0935689454
417	0.09336363843
418	0.09328175828
419	0.09310475116
420	0.09290335877
421	0.09272559187
422	0.09259684915
423	0.09250270544
424	0.09224244028
425	0.09206814802
426	0.09199696393
427	0.09188160702
428	0.09156061251
429	0.09135465722
430	0.09103555875
431	0.0908175613
432	0.09075906059
433	0.09059448193
434	0.09039475141
435	0.09020038514
436	0.09003260861
437	0.08963684136
438	0.08942640716
439	0.08923206328
440	0.08909892332
441	0.08899374959
442	0.08884923136
443	0.08868617352
444	0.08841006297
445	0.08816014172
446	0.08801415721
447	0.08797654128
448	0.08771757437
449	0.08763440238
450	0.08755193343
451	0.08741882966
452	0.08706815682
453	0.08692495486
